"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","37.488293","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","34","2","59.347866","0","388"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","36","3","27.431065","0","46"
"Globals","0","602","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","3","1","8.634055","0","50"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","3.915356","0","28"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","4","1","15.879429","0","102"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","5.933870","0","10"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","5.457541","0","10"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.050299","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","12","1","9.284480","0","16"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","16","1","16.156878","0","68"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.171327","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","5.768555","0","8"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","7.596639","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","3","1","70.454597","0","414"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","8","1","89.835754","0","690"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","681","7","1","343.165375","0","31251"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","3","1","50.577293","0","603"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","9","1","110.006569","0","1349"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.481047","0","3"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","4.087906","0","13"
